flight_number,origin,destination,frequency,days,departure_time,arrival_time,effective_date,discontinued_date,suspension_start,suspension_end,notes
502,MCO,JFK,DLY,XXXXXXX,13:55,16:19,,,,,
268,MCO,EWR,DLY,XXXXXXX,15:15,17:25,1984-07-01 00:00:00,,,,
268,MCO,EWR,DLY,XXXXXXX,16:30,18:40,,1984-06-01 00:00:00,,,
506,MCO,JFK,DLY,XXXXXXX,17:10,19:34,,,,,
540,MCO,DCA,DLY,XXXXXXX,10:05,12:00,,,,,
507,MCO,PBI,DLY,XXXXXXX,19:40,20:25,,,,,
812,ITM,HNL,57,----X-X,18:00,06:25,,,,,
10,ITM,HNL,1,X------,19:55,06:20,,,,,
831,ITM,ICN,3,--X----,18:45,20:10,,,,,
16,ITM,NRT,x2,X-XXXXX,13:45,14:55,,,,,No Local Traffic On Above Flight
830,ITM,NRT,x27,X-XXXX-,15:15,16:30,,,,,No Local Traffic On Above Flight; Ops As 830 On ExTuSu
115,ORY,JFK,DLY,XXXXXXX,12:30,14:15,,,,,
205,PHL,JFK,DLY,XXXXXXX,08:10,08:58,,,,,
102,PHL,JFK,DLY,XXXXXXX,16:40,17:30,,,,,
206,PHL,PIT,DLY,XXXXXXX,22:00,23:05,,,,,
101,PHL,RDU,DLY,XXXXXXX,18:30,19:36,,,,,
537,PIT,CVG,DLY,XXXXXXX,20:30,21:30,,,,,
546,PIT,JFK,DLY,XXXXXXX,14:55,16:15,,,,,
205,PIT,PHL,DLY,XXXXXXX,06:45,07:40,,,,,
234,PTP,FDF,67,-----XX,16:20,16:50,,,,,No Local Traffic On Above Flight
436,POS,ANU,146,X--X-X-,07:00,08:20,,,,,
436,POS,BGI,235,-XX-X--,07:00,07:45,,,,,
220,POS,BGI,x26,X-XXX-X,08:20,09:10,,,,,
930,PVD,JFK,DLY,XXXXXXX,07:10,08:00,,,,,
942,PVD,JFK,DLY,XXXXXXX,13:40,14:25,,,,,
918,PVD,JFK,DLY,XXXXXXX,19:50,20:40,,,,,
102,RDU,PHL,DLY,XXXXXXX,15:00,16:07,,,,,
201,GIG,EZE,146,X--X-X-,08:35,11:35,,,,,
939,ROC,JFK,67,-----XX,07:05,08:00,,,,,
941,ROC,JFK,DLY,XXXXXXX,10:05,11:00,,,,,
943,ROC,JFK,DLY,XXXXXXX,13:15,14:15,,,,,
947,ROC,JFK,DLY,XXXXXXX,15:30,16:30,,,,,
953,ROC,JFK,DLY,XXXXXXX,20:00,21:00,,,,,
436,SKB,MIA,7,------X,08:50,11:55,,,,,
230,SKB,JFK,67,-----XX,14:55,19:05,,,,,
435,SKB,POS,3,--X----,17:40,19:05,,,,,
-1,SKB,POS,26,-X---X-,16:50,17:45,,,,,21»
-1,SXM,JFK,DLY,XXXXXXX,14:55,19:00,,,,,8/13/1900  12:00:00 AM - Nonstop
588,SAT,MSY,DLY,XXXXXXX,10:10,11:30,,,,,
215,SFO,HKG,DLY,XXXXXXX,14:15,19:15,,,,,
125,SFO,HNL,x6,XXXXX-X,17:45,19:59,1984-05-30 00:00:00,,,,Above Flt Ops Daily Eff 30 May
125,SFO,HNL,6,-----X-,18:30,20:44,,1984-05-26 00:00:00,,,Above Flt Dis After 26 May
12,SFO,IAH,DLY,XXXXXXX,12:30,18:10,,,,,
815,SFO,LAX,x26,X-XXX-X,19:45,21:06,,,,,
121,SFO,LAX,35,--X-X--,20:00,21:21,,1984-05-25 00:00:00,,,Above Flt Dis After 25 May
121,SFO,LAX,2,-X-----,20:20,21:41,,1984-05-29 00:00:00,,,Above Fit Dis After 29 May
12,SFO,JFK,DLY,XXXXXXX,09:00,17:15,,,,,
-1,SFO,JFK,DLY,XXXXXXX,12:00,20:15,,,,,
122,SFO,SEA,35,--X-X--,15:00,16:50,,1984-05-25 00:00:00,,,
11,SFO,NRT,DLY,XXXXXXX,12:15,14:55,,,,,
22,SEA,LHR,35,--X-X--,18:30,11:30,,1984-05-25 00:00:00,,,Above Fit Dis After 25 May
22,SEA,LHR,x12,--XXXXX,20:00,13:00,1984-05-30 00:00:00,,,,Above Fit Eff 30 May
125,SEA,SFO,46,---X-X-,15:00,16:51,,1984-05-26 00:00:00,,,Above Fit Dis After 26 May
830,ICN,ITM,4,---X---,11:30,12:55,,,,,
12,ICN,NRT,67,-----XX,14:25,16:30,,,,,
800,ICN,NRT,13,X-X----,14:55,16:55,,,,,
18,SHA,NRT,24,-X-X---,12:00,16:55,,,,,
6,SIN,HKG,DLY,XXXXXXX,07:20,10:50,,,,,
660,STR,TXL,x7,XXXXXX-,08:45,09:55,,,,,
662,STR,TXL,7,------X,09:35,10:45,,,,,
92,STR,TXL,2345,-XXXX--,12:30,13:40,,,,,
664,STR,TXL,x7,XXXXXX-,13:50,15:00,,,,,
666,STR,TXL,7,------X,15:45,16:55,,,,,
668,STR,TXL,DLY,XXXXXXX,19:55,21:05,,,,,Ops 25 Min. Later On Sa
107,STR,BRU,DLY,XXXXXXX,07:55,08:50,,,,,
812,STR,AKL,146,X--X-X-,13:30,18:20,,,,,
812,SYD,HNL,2,-X-----,16:45,06:00,,,,,
816,SYD,LAX,357,--X-X-X,15:00,11:25,,,,,
815,SYD,MEL,357,--X-X-X,07:20,08:40,,,,,No Local Traffic On Above Flight
811,SYD,MEL,2,-X-----,08:20,09:40,,,,,No Local Traffic On Above Flight
929,SYR,JFK,7,------X,07:00,08:00,,,,,
931,SYR,JFK,x7,XXXXXX-,07:35,08:30,,,,,
933,SYR,JFK,DLY,XXXXXXX,13:50,14:45,,,,,
935,SYR,JFK,DLY,XXXXXXX,16:55,17:55,,,,,
937,SYR,JFK,DLY,XXXXXXX,20:10,21:00,,,,,
800,TPE,NRT,257,-X--X-X,12:55,16:55,,,,,
511,TPA,RSW,DLY,XXXXXXX,22:00,22:35,,,,,
352,TPA,MEX,x12,--XXXXX,21:00,22:00,1984-06-15 00:00:00,1984-09-08 00:00:00,,,Above At Eff 15 Jun thru 8 Sep
327,TPA,MIA,DLY,XXXXXXX,07:00,07:45,,,,,
329,TPA,MIA,DLY,XXXXXXX,08:00,08:45,,,,,
331,TPA,MIA,DLY,XXXXXXX,09:00,09:45,,,,,
333,TPA,MIA,DLY,XXXXXXX,10:00,10:45,,,,,
463,TPA,MIA,DLY,XXXXXXX,11:00,11:45,,,,,
337,TPA,MIA,DLY,XXXXXXX,12:00,12:45,,,,,
339,TPA,MIA,DLY,XXXXXXX,13:00,13:45,,,,,
341,TPA,MIA,DLY,XXXXXXX,14:00,14:45,,,,,
343,TPA,MIA,DLY,XXXXXXX,15:00,15:45,,,,,
345,TPA,MIA,DLY,XXXXXXX,16:00,16:45,,,,,
347,TPA,MIA,DLY,XXXXXXX,17:00,17:45,,,,,
349,TPA,MIA,DLY,XXXXXXX,18:00,18:45,,,,,
351,TPA,MIA,DLY,XXXXXXX,19:00,19:45,,,,,
353,TPA,MIA,DLY,XXXXXXX,20:00,20:45,,,,,
518,TPA,JFK,DLY,XXXXXXX,15:05,17:42,,,,,
106,TPA,IAD,DLY,XXXXXXX,18:15,20:35,,,,,
17,NRT,PEK,14,X--X---,16:30,19:45,,,,,
21,NRT,HKG,DLY,XXXXXXX,16:15,19:35,,,,,
830,NRT,HNL,DLY,XXXXXXX,21:00,09:00,,,,,
22,NRT,LAX,DLY,XXXXXXX,18:15,12:00,,,,,
11,NRT,MNL,247,-X-X--X,16:15,19:20,,,,,
-1,NRT,JFK,57,----X-X,16:00,15:30,1984-06-15 00:00:00,1984-09-08 00:00:00,,,Above Fit Eff 15 Jun thru 8 Sep
800,NRT,JFK,DLY,XXXXXXX,18:30,18:00,,,,,
831,NRT,ITM,1,X------,16:15,17:30,,,,,No Local Traffic On Above Flight
831,NRT,ITM,234,-XXX---,16:45,18:00,,,,,No Local Traffic On Above Flight
801,NRT,ITM,7,------X,17:00,18:15,,,,,No Local Traffic On Above Flight
831,NRT,ITM,5,----X--,18:00,19:15,,,,,
12,NRT,SFO,DLY,XXXXXXX,17:55,11:00,,,,,
11,NRT,ICN,56,----XX-,16:15,18:35,,,,,
15,NRT,ICN,27,-X----X,16:30,18:50,,,,,Above Fit Ops As 801 On Tu
17,NRT,SHA,3,--X----,16:30,18:45,,,,,
801,NRT,TPE,136,X-X--X-,16:30,18:45,,,,,
957,RME,JFK,7,------X,21:00,21:50,,,,,
551,IAD,CLT,DLY,XXXXXXX,19:20,20:39,,,,,
106,IAD,LHR,DLY,XXXXXXX,21:00,09:05,,,,,
100,DCA,JFK,DLY,XXXXXXX,07:55,08:58,,,,,
801,DCA,JFK,DLY,XXXXXXX,10:10,11:10,,,,,
217,DCA,JFK,DLY,XXXXXXX,13:15,14:15,,,,,
550,IAD,JFK,DLY,XXXXXXX,14:05,15:25,,,,,
110,DCA,JFK,DLY,XXXXXXX,15:55,17:05,,,,,
180,DCA,JFK,347,--XX--X,17:20,18:30,,,1984-06-03 00:00:00,,Above Fit Eff 3 June
180,DCA,JFK,37,--X---X,17:20,18:30,,1984-05-30 00:00:00,,,Above Fit Dis After 30 May
594,DCA,JFK,DLY,XXXXXXX,17:20,18:30,,,,,
64,DCA,JFK,DLY,XXXXXXX,19:00,20:10,,,,,
541,DCA,MCO,DLY,XXXXXXX,09:30,11:32,,,,,
597,DCA,PBI,DLY,XXXXXXX,10:00,12:11,,,,,
272,PBI,LGA,DLY,XXXXXXX,10:00,13:23,,,,,
236,PBI,JFK,DLY,XXXXXXX,12:00,14:34,1984-06-01 00:00:00,,,,Above Fit Eff 1 Jun
266,PBI,EWR,DLY,XXXXXXX,12:00,14:37,,1984-05-31 00:00:00,,,Above Fit Dis After 31 May
110,PBI,JFK,DLY,XXXXXXX,13:00,17:05,,,,,
506,PBI,JFK,DLY,XXXXXXX,15:50,19:34,,,,,
266,PBI,EWR,DLY,XXXXXXX,17:00,19:37,1984-06-01 00:00:00,,,,Above Fit Eff 1 Jun
236,PBI,JFK,DLY,XXXXXXX,18:20,20:54,,1984-05-31 00:00:00,,,Above Fit Dis After 31 May
506,PBI,MCO,DLY,XXXXXXX,15:50,16:35,,,,,
110,PBI,DCA,DLY,XXXXXXX,13:00,14:59,,,,,
77,ZAG,MUN,2347,-XXX--X,09:40,10:40,,,,,
624,ZUR,TXL,DLY,XXXXXXX,16:50,18:15,,,,,
92,ZRH,BUD,7,------X,11:15,12:45,,,,,
92,ZRH,DBV,16,X----X-,11:15,12:55,,,,,
90,ZRH,GVA,DLY,XXXXXXX,11:05,11:50,,,,,No Local Traffic On Above Flight
91,ZRH,JFK,DLY,XXXXXXX,11:45,14:05,,,,,
92,ZRH,STR,2345,-XXXX--,11:15,12:00,,,,,
