flight_number,origin,destination,frequency,days,departure_time,arrival_time,effective_date,discontinued_date,suspension_start,suspension_end,notes
812,HNL,LAX,DLY,XXXXXXX,08:30,16:40,,,,,
9,HNL,OSA,146,X--X-X-,10:40,03:05,,,,,
6,HNL,SFO,DLY,XXXXXXX,22:45,06:34,,,,,
917,HNL,SYD,1,X------,01:00,06:55,,,,,
7,HNL,NRT,DLY,XXXXXXX,11:30,02:25,,,,,
715,IAH,LAX,DLY,XXXXXXX,20:45,20:59,,,,,
51,IAH,MEX,DLY,XXXXXXX,22:00,22:55,,,,,
409,IAH,MIA,DLY,XXXXXXX,10:00,11:15,,,,,
722,IAH,MIA,DLY,XXXXXXX,18:00,21:15,,,,,
12,IAH,MSY,DLY,XXXXXXX,18:45,19:45,,,,,
52,IAH,JFK,DLY,XXXXXXX,12:45,17:00,,,,,
24,IAH,JFK,DLY,XXXXXXX,16:20,20:43,,,,,
11,IAH,SFO,DLY,XXXXXXX,09:00,22:45,,,,,
554,IND,DTW,DLY,XXXXXXX,12:00,15:15,,,,,
554,IND,JFK,DLY,XXXXXXX,12:00,17:40,,,,,
91,IST,GVA,DLY,XXXXXXX,07:00,21:10,,,,,
737,JNB,ROB,256,-X--XX-,19:30,12:25,1984-06-05 00:00:00,,,,No Local Traffic On Above Flight
111,JNB,ROB,25,-X--X--,19:30,12:25,,1984-06-02 00:00:00,,,No Local Traffic On Above Flight
538,KHI,STL,DLY,XXXXXXX,12:35,01:25,,,,,
66,KHI,DEL,136,X-X--X-,12:30,02:50,1984-07-04 00:00:00,1984-08-01 00:00:00,,,
66,KHI,DEL,16,X----X-,12:30,02:50,,,1984-07-03 00:00:00,1984-08-03 00:00:00,
73,LOS,FRA,347,--XX--X,06:15,11:15,1984-08-08 00:00:00,,,,Above Flt Ops ThuSu Eff 6 Sep
73,LOS,FRA,47,---X--X,06:15,11:15,,1984-08-06 00:00:00,,,
189,LOS,ROB,3,--X----,20:30,21:40,,,,,
188,LOS,NAI,2,-X-----,18:20,01:20,,,,,
106,LHR,BRU,DLY,XXXXXXX,10:30,12:25,,,,,No Local Traffic
98,LHR,FRA,235,-XX-X--,08:40,11:15,,1984-06-01 00:00:00,,,
120,LHR,FRA,DLY,XXXXXXX,08:40,11:15,1984-05-31 00:00:00,,,,
121,LHR,LAX,DLY,XXXXXXX,16:15,19:15,1984-05-30 00:00:00,,,,
121,LHR,LAX,1467,X--X-XX,16:15,19:15,,1984-05-29 00:00:00,,,
99,LHR,MIA,DLY,XXXXXXX,10:10,17:20,1984-04-29 00:00:00,,,,
101,LHR,JFK,DLY,XXXXXXX,11:00,13:00,1984-04-29 00:00:00,,,,
1,LHR,JFK,DLY,XXXXXXX,14:00,16:30,1984-04-29 00:00:00,,,,
103,LHR,JFK,DLY,XXXXXXX,19:00,21:30,1984-04-29 00:00:00,,,,
125,LHR,SFO,DLY,XXXXXXX,12:45,15:30,1984-05-30 00:00:00,,,,
125,LHR,SFO,17,X-----X,12:45,15:30,,1984-05-29 00:00:00,,,
121,LHR,SFO,235,-XX-X--,16:15,19:00,,1984-05-30 00:00:00,,,
125,LHR,SEA,46,---X-X-,11:15,12:45,1984-04-29 00:00:00,1984-05-27 00:00:00,,,
123,LHR,SEA,x12,--XXXXX,16:30,18:00,1984-05-30 00:00:00,,,,
811,LAX,HNL,DLY,XXXXXXX,20:45,23:13,1984-04-29 00:00:00,,,,
702,LAX,IAH,DLY,XXXXXXX,14:45,18:50,1984-04-29 00:00:00,,,,
720,LAX,LHR,DLY,XXXXXXX,14:45,07:50,1984-05-30 00:00:00,,,,
720,LAX,LHR,3567,--X-XXX,14:45,07:50,,1984-05-28 00:00:00,1984-05-28 00:00:00,,
22,LAX,MEX,DLY,XXXXXXX,12:45,17:15,1984-04-29 00:00:00,,,,
441,LAX,MIA,DLY,XXXXXXX,13:00,20:05,1984-04-29 00:00:00,,,,
120,LAX,SFO,124,XX-X---,15:00,16:15,1984-04-29 00:00:00,1984-06-01 00:00:00,,,
676,LAX,SYD,135,X-X-X--,22:20,06:05,1984-04-29 00:00:00,,,,
27,LAX,NRT,DLY,XXXXXXX,11:30,14:45,1984-04-29 00:00:00,,,,
12,MNL,NRT,135,X-X-X--,11:25,16:30,1984-04-29 00:00:00,,,,
410,MAR,MIA,1567,X---XXX,08:50,11:35,1984-04-29 00:00:00,,,,
816,MEL,AUC,26,-X---X-,11:45,17:05,1984-04-29 00:00:00,,,,
816,MEL,SYD,357,--X-X-X,11:45,11:05,1984-04-29 00:00:00,,,,Ops 30 Min. Later On WeSu
812,MEL,SYD,2,-X-----,14:00,15:20,1984-04-29 00:00:00,,,,No Local Traffic On Above Flight
22,MEX,GUA,DLY,XXXXXXX,18:10,20:00,,,,,
21,MEX,LAX,DLY,XXXXXXX,08:00,10:40,,,,,
464,MEX,MIA,DLY,XXXXXXX,19:00,11:55,1900-04-29 00:00:00,,,,
498,MEX,MIA,DLY,XXXXXXX,10:20,15:15,1984-04-29 00:00:00,,,,
468,MEX,MIA,DLY,XXXXXXX,15:30,20:25,1984-04-29 00:00:00,,,,
435,MIA,ANT,146,X--X-X-,08:20,17:05,1984-04-29 00:00:00,,,,
991,MIA,ATL,DLY,XXXXXXX,08:30,10:15,1984-04-29 00:00:00,,,,
995,MIA,ATL,DLY,XXXXXXX,14:00,15:35,1984-04-29 00:00:00,,,,
997,MIA,ATL,DLY,XXXXXXX,17:00,18:55,1984-04-29 00:00:00,,,,
435,MIA,BGI,257,-X--X-X,14:00,17:35,1984-04-29 00:00:00,,,,
1453,MIA,EZE,6,-----X-,22:45,08:15,1984-07-03 00:00:00,,,,
455,MIA,EZE,246,-X-X-X-,22:45,08:15,,1984-06-30 00:00:00,,,
445,MIA,CCS,DLY,XXXXXXX,14:00,17:05,1984-07-28 00:00:00,1984-09-09 00:00:00,,,
1443,MIA,CCS,67,-----XX,23:59,03:05,,,,,
575,MIA,DFW,DLY,XXXXXXX,07:30,09:18,,,,,
405,MIA,GUA,DLY,XXXXXXX,18:30,19:00,,,,,
721,MIA,IAH,DLY,XXXXXXX,07:50,09:13,,,,,
410,MIA,IAH,DLY,XXXXXXX,13:55,15:25,,,,,
98,MIA,LHR,DLY,XXXXXXX,18:15,07:35,,,,,
440,MIA,LAX,DLY,XXXXXXX,08:00,10:15,,,,,
409,MIA,MAR,4567,---XXXX,14:30,17:15,,,,,
991,MIA,MEM,DLY,XXXXXXX,08:30,10:45,,,,,
995,MIA,MEM,DLY,XXXXXXX,13:40,16:10,,,,,
467,MIA,MEX,DLY,XXXXXXX,08:00,09:05,,,,,
463,MIA,MEX,DLY,XXXXXXX,12:00,14:25,,,,,
499,MIA,MEX,DLY,XXXXXXX,17:00,18:05,,,,,
723,MIA,MSY,DLY,XXXXXXX,07:45,08:25,,,,,
436,MIA,MSY,DLY,XXXXXXX,13:55,14:45,,,,,
454,MIA,JFK,DLY,XXXXXXX,08:30,11:08,,,,,
454,MIA,JFK,DLY,XXXXXXX,11:08,11:08,,,,,
274,MIA,EWR,DLY,XXXXXXX,11:13,11:13,,,,,
244,MIA,LGA,DLY,XXXXXXX,16:58,16:58,,,,,
114,MIA,JFK,DLY,XXXXXXX,17:15,17:15,,,,,
66,MIA,JFK,DLY,XXXXXXX,19:15,19:15,,,,,
248,MIA,LGA,DLY,XXXXXXX,20:18,20:18,,,,,
370,MIA,MCO,DLY,XXXXXXX,07:00,07:45,,,,,
372,MIA,MCO,DLY,XXXXXXX,08:00,08:43,,,,,
374,MIA,MCO,DLY,XXXXXXX,09:00,09:45,,,,,
376,MIA,MCO,DLY,XXXXXXX,10:00,10:45,,,,,
378,MIA,MCO,DLY,XXXXXXX,11:00,11:45,,,,,
380,MIA,MCO,DLY,XXXXXXX,14:00,12:45,,,,,
382,MIA,MCO,DLY,XXXXXXX,13:45,15:45,,,,,
384,MIA,MCO,DLY,XXXXXXX,14:00,14:45,,,,,
386,MIA,MCO,DLY,XXXXXXX,15:00,15:45,,,,,
99,MIA,MCO,DLY,XXXXXXX,16:00,16:45,,,,,
498,MIA,MCO,DLY,XXXXXXX,17:00,17:45,,,,,
392,MIA,MCO,DLY,XXXXXXX,18:00,18:45,,,,,
394,MIA,MCO,DLY,XXXXXXX,19:00,19:45,,,,,
396,MIA,MCO,DLY,XXXXXXX,20:00,20:45,,,,,
398,MIA,MCO,DLY,XXXXXXX,21:00,21:45,,,,,
447,MIA,GIG,DLY,XXXXXXX,22:30,07:35,,,,,
435,MIA,SKP,3,--X----,14:00,16:40,,,,,
328,MIA,TPA,DLY,XXXXXXX,07:30,08:15,,,,,
330,MIA,TPA,DLY,XXXXXXX,08:30,09:15,,,,,
332,MIA,TPA,DLY,XXXXXXX,09:30,10:15,,,,,
334,MIA,TPA,DLY,XXXXXXX,10:30,11:15,,,,,
336,MIA,TPA,DLY,XXXXXXX,11:30,12:15,,,,,
338,MIA,TPA,DLY,XXXXXXX,12:30,13:15,,,,,
464,MIA,TPA,DLY,XXXXXXX,13:00,14:15,,,,,
342,MIA,TPA,DLY,XXXXXXX,14:30,15:15,,,,,
344,MIA,TPA,DLY,XXXXXXX,15:30,16:15,,,,,
346,MIA,TPA,DLY,XXXXXXX,16:30,17:15,,,,,
348,MIA,TPA,DLY,XXXXXXX,17:30,18:15,,,,,
